task_id,workload,data_size,result_size,priority,deadline,type
298,41711950.55,71130.23,5486.52,1,0.24,light
299,15530462513.99,12180807.56,2746602.08,1,4.98,heavy
300,22315868.44,52312.39,4144.08,2,0.35,light
301,1331176581.81,1604610.52,302768.73,1,1.52,medium
302,21027835.39,14803.8,1488.2,1,0.13,light
303,36793167.94,95345.43,8913.75,0,0.28,light
304,47927607.61,47304.72,4129.75,1,0.11,light
305,3520149960.11,3141474.69,581191.13,1,1.27,medium
306,1631924750.6,4086160.27,721798.52,1,0.51,medium
307,5866536.07,6145.91,723.41,1,0.23,light
308,1569341602.36,374746.5,81094.97,2,1.61,medium
309,71343166.82,48142.74,4885.59,1,0.44,light
310,1672644.15,45295.9,4844.33,0,0.1,light
311,1017758836.06,2375117.99,601691.93,1,0.58,medium
312,18547582487.63,43882127.53,12926332.82,2,3.73,heavy
313,3372870883.71,1014946.58,225656.2,2,0.76,medium
314,1488073226.68,3504178.55,735321.4,1,1.5,medium
315,1933235988.62,2095619.2,364223.17,1,1.35,medium
316,18280223575.04,34361962.27,7703185.48,2,4.85,heavy
317,102243603.01,35620.39,3796.26,1,0.24,light
318,3504027243.64,1743280.22,417660.81,1,1.57,medium
319,30814979.13,41270.69,4736.69,1,0.25,light
320,5067133877.05,3780981.17,806334.23,1,0.99,medium
321,37746697.2,5921.12,618.58,0,0.14,light
322,4129282623.16,4588472.34,1189434.58,2,0.85,medium
323,4067299319.05,1973907.4,375212.01,2,0.67,medium
324,2996828077.28,4631870.23,1001395.44,1,1.55,medium
325,1005797993.93,1421159.57,276858.41,1,0.8,medium
326,21279632.61,63240.31,5992.48,1,0.18,light
327,12034482721.28,30438043.73,7353031.16,1,3.92,heavy
328,84387051.74,53304.6,5194.03,1,0.35,light
329,2106236980.46,1794507.52,304546.98,0,1.67,medium
330,2895776199.39,1791494.28,279826.8,2,1.88,medium
331,4747639398.69,4843808.15,787773.19,1,1.78,medium
332,6295014.49,63468.86,5723.44,1,0.47,light
333,28082060.55,37014.11,3896.53,0,0.32,light
334,4582386943.82,1321158.15,188708.68,2,1.86,medium
335,99133764.13,103529.93,9423.86,1,0.13,light
336,4930571.3,4840.97,496.61,1,0.27,light
337,3347914.45,6716.1,753.16,2,0.31,light
338,54882068.58,5715.5,673.22,1,0.27,light
339,16825298306.76,46576510.7,14230772.05,1,2.75,heavy
340,25791447.41,67723.56,9045.98,1,0.33,light
341,79000663.3,8851.04,692.92,0,0.12,light
342,1456242181.03,3096805.67,608153.03,1,0.62,medium
343,80300927.37,38375.36,4061.57,1,0.39,light
344,3008238674.46,2896287.57,506431.06,2,1.26,medium
345,59193485.81,30087.09,2383.23,0,0.49,light
346,39001910.69,81064.95,6469.48,2,0.38,light
347,46204211.93,4150.03,404.31,1,0.43,light
348,46882110.99,85223.46,7504.66,0,0.18,light
349,33663795.56,59230.37,5546.81,0,0.34,light
350,4016529378.34,2952289.13,691085.57,1,1.74,medium
351,76433079.31,7131.9,610.63,1,0.39,light
352,2314866783.32,3048502.76,647735.18,1,0.74,medium
353,6629092115.13,5731907.44,1847253.2,2,1.34,heavy
354,2159731284.07,3183490.53,544519.1,2,1.67,medium
355,56587319.26,32557.94,3245.7,0,0.29,light
356,2343342166.18,4330690.79,723831.58,0,1.91,medium
357,6793045.14,19290.67,1933.19,1,0.45,light
358,66660815.41,6002.79,453.94,0,0.37,light
359,74587853.48,7522.42,739.94,1,0.2,light
360,72272772.62,57276.99,5484.35,0,0.28,light
361,9815832583.84,40563388.14,12884748.38,2,4.5,heavy
362,34996612.95,38592.63,3992.23,1,0.49,light
363,93301568.28,96402.77,7407.36,1,0.42,light
364,61217441.85,34227.39,3415.51,2,0.11,light
365,491591746.2,483445.11,110605.85,1,1.26,medium
366,3709975820.83,4203042.76,820382.88,0,1.21,medium
367,81452387.21,29748.27,2827.77,1,0.41,light
368,12058419.03,24891.66,2943.27,2,0.24,light
369,3517080081.38,2835825.67,605117.25,1,1.35,medium
370,3738171060.44,2019239.65,397386.86,1,0.89,medium
371,2335996377.3,5288140.15,915283.8,2,1.66,medium
372,11989861.49,24551.33,2728.58,2,0.4,light
373,74918840.22,96119.8,8279.53,2,0.47,light
374,13598433205.3,37903232.74,10349272.16,2,4.59,heavy
375,5621500108.93,40804511.53,10352023.36,2,2.64,heavy
376,2650700499.08,696339.18,143175.68,2,1.87,medium
377,3013625999.92,1946071.01,441389.87,1,1.16,medium
378,583980251.65,1664150.32,287335.39,1,1.85,medium
379,34503729.1,35722.93,2671.3,0,0.43,light
380,2442069371.85,2786185.39,603134.34,0,0.93,medium
381,96176196.47,30543.34,3202.12,2,0.4,light
382,1215944210.85,4243608.19,983338.28,0,1.85,medium
383,5172564734.38,44433731.03,10365532.45,1,4.77,heavy
384,82346835.13,29790.11,2427.59,1,0.44,light
385,79296411.97,105140.85,11345.1,0,0.24,light
386,1797221359.43,2691498.76,453194.34,2,1.27,medium
387,4947422416.17,2295206.68,561011.52,2,0.98,medium
388,298957324.2,3320291.82,491293.37,1,1.06,medium
389,17194031.58,88928.17,9556.52,1,0.18,light
390,3529436893.91,113775.5,18222.96,1,0.81,medium
391,36175711.15,56454.94,5871.84,1,0.36,light
392,1525536252.92,2276932.96,511195.21,1,1.04,medium
393,91073960.73,69921.49,6880.75,2,0.23,light
394,1657231853.58,696327.25,141301.05,2,1.66,medium
395,11812449430.15,14201157.21,4512677.75,2,4.56,heavy
396,1495833383.14,1579581.33,331334.18,1,1.1,medium
397,32333781.87,77213.63,7764.86,1,0.33,light
398,4955478522.76,3292999.32,531302.34,2,0.53,medium
399,71032273.21,88792.24,9496.19,1,0.36,light
400,17900929.66,52213.25,5829.36,1,0.42,light
401,3399733229.36,4610004.91,764237.52,0,1.91,medium
402,7019505873.93,17168500.93,5250521.52,2,1.99,heavy
403,3028694912.76,775845.79,171409.83,1,0.63,medium
404,44109743.55,2603.37,261.41,1,0.16,light
405,2929250694.49,1532814.97,288680.16,1,0.54,medium
406,3355084703.94,2401836.66,477740.74,0,1.95,medium
407,12667225902.48,16156763.33,3571339.45,2,2.57,heavy
408,1213028451.87,5017780.1,904269.05,1,1.05,medium
409,80993020.83,92725.03,7594.05,0,0.45,light
410,65349954.3,45503.43,5018.28,1,0.19,light
411,1581956309.87,869909.22,163567.57,1,1.11,medium
412,83003192.73,55172.07,5454.96,1,0.23,light
413,104383665.82,8449.57,800.91,1,0.25,light
414,854149119.61,2380316.45,532210.27,0,1.14,medium
415,3614909667.95,3015392.67,552626.87,1,1.15,medium
416,2672522872.87,2929931.67,604290.14,2,0.71,medium
417,17059614415.94,29621201.4,8204885.04,2,4.74,heavy
418,13391689.66,48331.67,6559.83,0,0.27,light
419,29074517.47,19457.18,1964.98,1,0.23,light
420,34085565.33,59971.77,5387.47,1,0.47,light
421,59345241.61,32265.94,3005.25,1,0.2,light
422,17045118.42,74615.83,7044.0,1,0.14,light
423,36187617.16,80035.09,7985.34,1,0.42,light
424,858380790.91,3674466.33,1012360.97,0,1.71,medium
425,34098752.94,86597.39,7363.76,1,0.28,light
426,649349984.73,2857219.76,544341.02,1,1.21,medium
427,4615273192.41,4514050.36,1011411.37,2,1.75,medium
428,2425504141.28,3589399.97,829111.27,1,1.15,medium
429,2621147866.12,3680511.29,721120.17,1,1.34,medium
430,16870421.54,72170.5,5543.47,1,0.31,light
431,35829206.3,26011.17,2774.26,1,0.11,light
432,74928427.61,28278.49,3007.66,2,0.43,light
433,15374141932.08,24563900.29,7275872.8,2,4.0,heavy
434,4409805649.32,909470.34,169668.45,2,0.7,medium
435,13671498554.2,7982598.11,1774516.91,2,4.93,heavy
436,85347207.85,92525.65,7899.43,1,0.46,light
437,5014779698.75,2076181.45,492761.64,2,0.6,medium
438,8703778.37,47112.83,4362.66,0,0.3,light
439,120345581.29,1460520.95,269063.95,1,1.35,medium
440,7372143035.45,9559393.62,3144229.28,1,3.36,heavy
441,24055311.96,39162.27,3424.61,1,0.2,light
442,969583410.74,3530045.86,625020.72,0,1.56,medium
443,1254904536.39,974256.03,235376.19,1,0.94,medium
444,62158294.8,32244.42,4006.71,1,0.35,light
445,11455852706.84,30938376.24,7294851.72,2,2.39,heavy
446,3721237746.35,2444246.62,577710.12,2,0.64,medium
447,258507600.74,647975.71,137961.93,1,0.71,medium
448,2689515655.88,261684.98,55554.73,2,1.8,medium
449,3069077661.65,534486.83,146256.09,1,1.2,medium
450,43902500.59,56549.33,5467.89,1,0.43,light
451,16395232080.89,18533564.06,6493614.86,2,4.05,heavy
452,4221795704.47,5143672.2,1002316.26,0,1.27,medium
453,91193546.99,22546.99,2685.88,1,0.15,light
454,28461604.5,71400.79,9267.32,1,0.17,light
455,1495808655.62,512082.57,94452.77,1,0.64,medium
456,2010745842.13,2640364.85,472909.45,1,1.53,medium
457,87685846.57,65718.4,8266.17,0,0.15,light
458,16887992200.4,41792652.58,14385219.6,2,2.58,heavy
459,13354537163.42,15944409.86,4791565.24,2,2.48,heavy
460,71061177.25,90361.28,9376.67,0,0.18,light
461,59633377.42,47101.97,3881.7,1,0.43,light
462,934902522.94,3168955.39,837366.74,1,0.62,medium
463,16898724311.92,5534716.45,1686569.13,2,2.54,heavy
464,41613655.72,82043.9,7055.8,1,0.35,light
465,40074310.45,52484.81,4500.59,1,0.25,light
466,39666249.72,63696.98,6196.47,1,0.47,light
467,15881397631.61,24797429.51,6749693.32,1,1.49,heavy
468,3492909598.43,1250531.72,242750.01,1,1.73,medium
469,168619589.74,1771406.83,338607.83,1,1.04,medium
470,488766183.94,616574.52,127548.52,2,1.15,medium
471,1285315025.68,3794222.97,916209.09,2,1.29,medium
472,17019838.14,89475.92,11190.7,2,0.25,light
473,77476290.17,46110.63,3698.21,2,0.2,light
474,2230077221.04,717987.59,111532.32,1,0.95,medium
475,4213105365.11,2041394.75,365488.66,2,1.16,medium
476,3327123164.81,2767851.45,700706.97,2,0.91,medium
477,13075165.23,24793.63,2752.51,2,0.23,light
478,7505521.23,28485.1,3128.68,2,0.34,light
479,92349184.53,2353.03,197.95,1,0.28,light
480,76629939.77,69402.59,6176.54,0,0.44,light
481,9803535142.52,14840267.17,4653033.0,2,2.17,heavy
482,2860447124.31,1003811.6,174462.28,1,1.99,medium
483,53052585.4,22283.53,2672.48,0,0.34,light
484,103873643.07,56366.52,4919.47,0,0.41,light
485,14986024395.06,25650940.05,8112932.17,1,2.45,heavy
486,16409322744.39,19160588.04,6255523.53,2,4.44,heavy
487,43986163.97,91801.78,7526.43,1,0.31,light
488,93298705.81,39878.08,3834.94,2,0.26,light
489,60189338.72,94896.29,10531.03,1,0.48,light
490,49190307.15,10109.85,1017.61,1,0.45,light
491,92627776.3,18407.28,1551.7,2,0.17,light
492,30624811.15,98320.9,8374.71,1,0.2,light
493,21238424521.51,25634979.35,6916598.81,2,2.33,heavy
494,105827430.36,1803.24,124.94,1,0.45,light
495,2206803327.35,1383534.43,270130.59,1,1.66,medium
496,2587970411.61,3557611.61,699999.23,1,1.73,medium
497,2482826539.02,3496743.24,670231.12,1,0.72,medium
498,686028623.83,874071.18,164676.83,1,1.87,medium
499,61462562.77,7991.72,955.65,1,0.2,light
